meal_time,note,created_date
08:00,Oatmeal with berries,2026-01-19
12:30,Chicken salad with avocado,2026-01-19
18:45,Salmon with roasted vegetables,2026-01-19
08:00,Greek yogurt and granola,2026-01-20
12:30,Turkey sandwich with spinach,2026-01-20
18:45,Stir-fried tofu and broccoli,2026-01-20
08:00,Whole grain toast and eggs,2026-01-21
12:30,Quinoa bowl with chickpeas,2026-01-21
18:45,Grilled chicken and sweet potato,2026-01-21
08:00,Smoothie with banana and flax,2026-01-22
12:30,Lentil soup with side salad,2026-01-22
18:45,Beef and vegetable stew,2026-01-22
08:00,Cottage cheese with fruit,2026-01-23
12:30,Grilled veggie wrap,2026-01-23
18:45,Shrimp with brown rice,2026-01-23
08:00,Avocado toast and tomato,2026-01-24
12:30,Chicken quinoa salad,2026-01-24
18:45,Pasta with marinara and veggies,2026-01-24
08:00,Overnight oats with chia,2026-01-25
12:30,Tuna salad lettuce wraps,2026-01-25
18:45,Baked cod with asparagus,2026-01-25
